,0,1,2,3,4,5,6,7,8,9,10,11
0,51.805,52.21,52.1675,51.755,51.935,52.42,52.195,53.26,52.1075,51.005,48.335,49.25
1,51.8075,52.2275,52.2875,52.31,52.4325,52.66,52.54,55.3425,54.5075,51.6075,49.66225,49.51675
2,50.9025,51.8225,51.7925,51.6825,51.785,52.11,51.8275,52.825,51.685875,50.4075,48.145,48.51
3,50.9125,52.115,51.9175,52.2225,51.87,52.115,52.19,54.105,53.475,51.3825,49.4975,49.0775
4,89111730.0,73420840.0,59966268.0,55638250.0,70475496.0,86693550.0,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0
5,52.21,52.1675,51.755,51.935,52.42,52.195,53.26,52.1075,51.005,48.335,49.25,49.76
6,52.2275,52.2875,52.31,52.4325,52.66,52.54,55.3425,54.5075,51.6075,49.66225,49.51675,49.89
7,51.8225,51.7925,51.6825,51.785,52.11,51.8275,52.825,51.685875,50.4075,48.145,48.51,48.455
8,52.115,51.9175,52.2225,51.87,52.115,52.19,54.105,53.475,51.3825,49.4975,49.0775,48.8525
9,73420840.0,59966268.0,55638250.0,70475496.0,86693550.0,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0
10,52.1675,51.755,51.935,52.42,52.195,53.26,52.1075,51.005,48.335,49.25,49.76,50.8575
11,52.2875,52.31,52.4325,52.66,52.54,55.3425,54.5075,51.6075,49.66225,49.51675,49.89,50.8825
12,51.7925,51.6825,51.785,52.11,51.8275,52.825,51.685875,50.4075,48.145,48.51,48.455,49.8475
13,51.9175,52.2225,51.87,52.115,52.19,54.105,53.475,51.3825,49.4975,49.0775,48.8525,50.05
14,59966268.0,55638250.0,70475496.0,86693550.0,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0
15,51.755,51.935,52.42,52.195,53.26,52.1075,51.005,48.335,49.25,49.76,50.8575,50.2475
16,52.31,52.4325,52.66,52.54,55.3425,54.5075,51.6075,49.66225,49.51675,49.89,50.8825,50.69
17,51.6825,51.785,52.11,51.8275,52.825,51.685875,50.4075,48.145,48.51,48.455,49.8475,49.8225
18,52.2225,51.87,52.115,52.19,54.105,53.475,51.3825,49.4975,49.0775,48.8525,50.05,50.325
19,55638250.0,70475496.0,86693550.0,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0
20,51.935,52.42,52.195,53.26,52.1075,51.005,48.335,49.25,49.76,50.8575,50.2475,50.12
21,52.4325,52.66,52.54,55.3425,54.5075,51.6075,49.66225,49.51675,49.89,50.8825,50.69,50.5129
22,51.785,52.11,51.8275,52.825,51.685875,50.4075,48.145,48.51,48.455,49.8475,49.8225,49.7875
23,51.87,52.115,52.19,54.105,53.475,51.3825,49.4975,49.0775,48.8525,50.05,50.325,49.905
24,70475496.0,86693550.0,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0
25,52.42,52.195,53.26,52.1075,51.005,48.335,49.25,49.76,50.8575,50.2475,50.12,52.2425
26,52.66,52.54,55.3425,54.5075,51.6075,49.66225,49.51675,49.89,50.8825,50.69,50.5129,53.035
27,52.11,51.8275,52.825,51.685875,50.4075,48.145,48.51,48.455,49.8475,49.8225,49.7875,50.2075
28,52.115,52.19,54.105,53.475,51.3825,49.4975,49.0775,48.8525,50.05,50.325,49.905,50.255
29,86693550.0,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0
30,52.195,53.26,52.1075,51.005,48.335,49.25,49.76,50.8575,50.2475,50.12,52.2425,50.6875
31,52.54,55.3425,54.5075,51.6075,49.66225,49.51675,49.89,50.8825,50.69,50.5129,53.035,51.61
32,51.8275,52.825,51.685875,50.4075,48.145,48.51,48.455,49.8475,49.8225,49.7875,50.2075,50.646725
33,52.19,54.105,53.475,51.3825,49.4975,49.0775,48.8525,50.05,50.325,49.905,50.255,50.79
34,135742880.0,277125440.0,216071680.0,163448480.0,209571870.0,143299150.0,133457600.0,108038100.0,98478984.0,89927550.0,190159140.0,146189780.0
35,53.26,52.1075,51.005,48.335,49.25,49.76,50.8575,50.2475,50.12,52.2425,50.6875,50.435
36,55.3425,54.5075,51.6075,49.66225,49.51675,49.89,50.8825,50.69,50.5129,53.035,51.61,51.285
37,52.825,51.685875,50.4075,48.145,48.51,48.455,49.8475,49.8225,49.7875,50.2075,50.646725,49.9175
